OBJECTID,GEOID10,GEOID20,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,CSA,CSA_Name,CBSA,CBSA_Name,Ac_Total,Ac_Water,Ac_Land,Ac_Unpr,TotPop,CountHU,HH,Workers,D2B_E8MIXA,D2A_EPHHM,D3B,D4A,D2A_Ranked,D2B_Ranked,D3B_Ranked,D4A_Ranked,NatWalkInd,Shape_Length,Shape_Area
"47842","060371897013","060371897013","06","037","189701","3","348","Los Angeles-Long Beach, CA","31080","Los Angeles-Long Beach-Anaheim, CA",517.2442989,5.796966,511.4473329,402.82422,"1780","1798","957","1141",0.73862009107845,0.729679060791834,34.2194374164855,458.66,17,17,8,16,13.6666666666667,9797.30734105323,2093257.61193297
"47843","060371343034","060371343034","06","037","134303","4","348","Los Angeles-Long Beach, CA","31080","Los Angeles-Long Beach-Anaheim, CA",120.2633229,2.1940009,118.069322,118.069322,"2158","750","723","774",0.33915144133844,0.442041746689424,144.603862466492,374.17,8,4,17,17,13.3333333333333,3573.21596135818,486699.804609341
"47844","060371343042","060371343042","06","037","134304","2","348","Los Angeles-Long Beach, CA","31080","Los Angeles-Long Beach-Anaheim, CA",181.4465184,0,181.4465184,181.4465184,"2017","630","630","824",0.665053590597762,0.365673974661594,107.029664560375,852.95,6,14,15,13,12.6666666666667,3712.03951102088,734303.704304589
"47845","060379104011","060379104011","06","037","910401","1","348","Los Angeles-Long Beach, CA","31080","Los Angeles-Long Beach-Anaheim, CA",1922.8998299,10.0552403,1912.8445896,1912.8445896,"4509","1631","1510","1678",0.620625776613639,0.591896870298986,31.2404260779472,-99999,13,12,8,1,7.16666666666667,13838.2953291229,7781871.69268241
"47846","060379104012","060379104012","06","037","910401","2","348","Los Angeles-Long Beach, CA","31080","Los Angeles-Long Beach-Anaheim, CA",497.8580684,0,497.8580684,417.55775,"2314","752","709","985",0.549687985351107,0.384994825834125,60.0164623143024,-99999,7,10,10,1,6.5,7901.48715116167,2014802.27124632
"47847","060378003252","060378003252","06","037","800325","2","348","Los Angeles-Long Beach, CA","31080","Los Angeles-Long Beach-Anaheim, CA",281.0463509,67.5205692,213.5257817,213.52578,"1856","861","808","813",0.744747165962322,0.782524010882406,243.880994535659,-99999,18,17,20,1,12.8333333333333,5902.78211394184,1137377.13564486
"47852","060379006061","060379006061","06","037","900606","1","348","Los Angeles-Long Beach, CA","31080","Los Angeles-Long Beach-Anaheim, CA",244.3156772,0,244.3156772,232.85003,"2419","731","708","887",0.502886146917014,0.407073242421443,98.7129449751086,-99999,7,8,14,1,7.5,4047.64526849748,988732.386271879
"47853","060379006062","060379006062","06","037","900606","2","348","Los Angeles-Long Beach, CA","31080","Los Angeles-Long Beach-Anaheim, CA",186.3904952,0,186.3904952,174.7549584851,"954","462","410","394",0.838592087204492,0.709636201398784,82.4213701643731,848.93,16,20,13,13,14.6666666666667,3895.6321068297,754311.665477978
"47854","060379006071","060379006071","06","037","900607","1","348","Los Angeles-Long Beach, CA","31080","Los Angeles-Long Beach-Anaheim, CA",252.4044957,0,252.4044957,247.27293,"2115","704","658","750",0.782730073622912,0.621800073615629,126.823731531498,-99999,14,18,16,1,11,4506.80500687934,1021465.95078955
"47855","060379006072","060379006072","06","037","900607","2","348","Los Angeles-Long Beach, CA","31080","Los Angeles-Long Beach-Anaheim, CA",170.9393322,0,170.9393322,170.93933,"1973","583","489","594",0.28398907423249,0.734095492818753,86.1498627055009,-99999,17,3,13,1,8,3855.42837577325,691782.786841119
"47858","060379200401","060379200401","06","037","920040","1","348","Los Angeles-Long Beach, CA","31080","Los Angeles-Long Beach-Anaheim, CA",731.5281834,0,731.5281834,731.5281834,"3360","1011","993","1628",0.855284386624494,0.4141983474867,26.5500092009169,-99999,8,20,7,1,7.33333333333333,8303.30744804531,2960456.8785132
"47867","060379200421","060379200421","06","037","920042","1","348","Los Angeles-Long Beach, CA","31080","Los Angeles-Long Beach-Anaheim, CA",474.7527358,0,474.7527358,474.7527358,"1732","569","529","828",0.684331987557086,0.487253359375348,25.6227696708304,-99999,10,15,7,1,6.83333333333333,8761.0832715596,1921296.16700247
"47868","060371200301","060371200301","06","037","120030","1","348","Los Angeles-Long Beach, CA","31080","Los Angeles-Long Beach-Anaheim, CA",88.6147549,0,88.6147549,87.439814170211,"2683","765","740","962",0.805258707876595,0.782373949933997,144.503249085892,335.28,18,19,17,17,17.5,2413.84272602404,358619.703943329
"47876","060379200422","060379200422","06","037","920042","2","348","Los Angeles-Long Beach, CA","31080","Los Angeles-Long Beach-Anaheim, CA",221.1507935,0,221.1507935,221.1507935,"3450","1248","1248","1358",0.655588549837634,0.626795365989008,70.4503915786312,-99999,14,14,11,1,8.66666666666667,4108.34351580903,894984.319823989
"47886","060371060101","060371060101","06","037","106010","1","348","Los Angeles-Long Beach, CA","31080","Los Angeles-Long Beach-Anaheim, CA",622.1501097,0,622.1501097,570.55763,"3108","983","945","1429",0.640009863736524,0.629762516851441,79.9251486493791,902.57,14,13,12,13,12.8333333333333,7290.1756071535,2517808.05802001
"47887","060371096011","060371096011","06","037","109601","1","348","Los Angeles-Long Beach, CA","31080","Los Angeles-Long Beach-Anaheim, CA",105.8400959,0,105.8400959,105.8401,"738","183","183","518",0.574205103134572,0.648779177140911,153.239468105962,524.38,15,11,18,15,15.3333333333333,2850.47510683154,428329.406512665
